rank,prev_rank,name,league,off,def,spi
383,381,Sydney FC,Australian A-League,1.12,1.58,35.2
384,389,Odd BK,Norwegian Tippeligaen,1.29,1.81,35.16
385,378,SV Darmstadt 98,German 2. Bundesliga,1.1,1.57,35.15
386,384,F91 Dudelange,UEFA Europa League,1.4,1.94,35.14
387,400,Cercle Brugge,Belgian Jupiler League,1.1,1.57,35.06
388,388,OFI Crete,Greek Super League,1.06,1.52,34.85
389,391,Chongqing Lifan,Chinese Super League,1.08,1.56,34.78
390,420,OH Leuven,Belgian Jupiler League,1.15,1.65,34.62
391,372,Hibernian,Scottish Premiership,1.08,1.58,34.49
392,399,Caykur Rizespor,Turkish Turkcell Super Lig,1.11,1.61,34.47
393,390,1. FC Heidenheim 1846,German 2. Bundesliga,1.08,1.58,34.38
394,387,Clermont Foot,French Ligue 2,0.88,1.33,34.17
395,392,IF Elfsborg,Swedish Allsvenskan,1.14,1.67,34.15
396,406,Viking FK,Norwegian Tippeligaen,1.38,1.98,33.93
397,404,Guangzhou RF,Chinese Super League,1.44,2.07,33.73
398,405,Orlando Pirates,South African ABSA Premier League,0.98,1.48,33.73
399,374,Wycombe Wanderers,English League Championship,1.06,1.58,33.72
400,424,Erzurumspor,Turkish Turkcell Super Lig,1.08,1.61,33.71
401,398,Kristiansund BK,Norwegian Tippeligaen,1.29,1.88,33.69
402,407,Aldosivi,Argentina Primera Division,0.86,1.33,33.63
403,403,Emmen,Dutch Eredivisie,1.2,1.78,33.6
404,409,AIK,Swedish Allsvenskan,0.91,1.4,33.51
405,408,Tianjin Quanujian,Chinese Super League,1.16,1.73,33.51
406,418,KV Oostende,Belgian Jupiler League,1.08,1.62,33.47
407,401,AD Alcorcon,Spanish Segunda Division,0.93,1.43,33.41
408,394,Tenerife,Spanish Segunda Division,0.94,1.45,33.38
409,437,Aberdeen,Scottish Premiership,0.98,1.5,33.37
410,395,St. Truidense,Belgian Jupiler League,1.08,1.64,33.3
